group,area,dense,mod,open,total,perce,scrub
Andhra Pradesh,162968,1994,13938,13205,29137,17.88,8255
Arunachal Pradesh,83743,21095,30557,15036,66688,79.63,229
Assam,78438,2795,10279,15253,28327,36.11,173
Bihar,94163,333,3280,3693,7306,7.76,250
Chhattisgarh,135192,7068,32198,16345,55611,41.13,610
Delhi,1483,7,56,132,195,13.18,0
Goa,3702,538,576,1123,2237,60.43,0
Gujarat,196244,378,5092,9387,14857,7.57,2994
Haryana,44212,28,451,1123,1602,3.62,154
Himachal Pradesh,55673,3113,7126,5195,15434,27.72,315
Jammu & Kashmir,222236,4281,8612,10719,23612,10.62,548
Jharkhand,79716,2603,9687,11321,23611,29.62,688
Karnataka,191791,4501,21048,13026,38575,20.11,4484
Kerala,38852,1935,9508,9701,21144,54.42,13
Madhya Pradesh,308252,6676,34341,36465,77482,25.14,6002
Maharashtra,307713,8721,20572,21485,50778,16.5,4256
Manipur,22327,905,6386,9556,16847,75.46,1181
Meghalaya,22429,489,9267,7363,17119,76.33,600
Mizoram,21081,157,5801,12048,18006,85.41,1
Nagaland,16579,1273,4534,6679,12486,75.31,635
Odisha,155707,6970,21552,23097,51619,33.15,4327
Punjab,50362,8,801,1040,1849,3.67,33
Rajasthan,342239,78,4342,12210,16630,4.86,4760
Sikkim,7096,1102,1552,688,3342,47.1,307
Tamil Nadu,130060,3605,11030,11729,26364,20.27,715
Telangana,112077,1608,8787,10187,20582,18.36,3615
Tripura,10486,654,5236,1836,7726,73.68,29
Uttar Pradesh,240928,2617,4080,8109,14806,6.15,587
Uttarakhand,53483,5047,12805,6451,24303,45.44,383
West Bengal,88752,3019,4160,9723,16902,19.04,146
Andaman & Nicobar,8249,5678,684,381,6743,81.74,1
Chandigarh,114,1,14,6,22,19.32,0
Dadra & Nagar Haveli,491,0,80,127,207,42.16,5
Daman & Diu,111,1,6,13,20,18.46,0
Lakshadweep,30,0,16,11,27,90.33,0
Puducherry,490,0,18,35,52,10.7,0
